Rank,Country,Cost of Living Index,Rent Index,Restaurant Price Index
1,Switzerland,101.1,46.5,97
2,Bahamas,85,36.7,83.3
3,Iceland,83,39.2,86.8
4,Singapore,76.7,67.2,50.4
5,Barbados,76.6,19,69.4
6,Norway,76,26.2,73.5
7,Denmark,72.3,26.4,81.3
8,Hong Kong (China),70.8,59.4,46.2
9,United States,70.4,41.7,67.2
10,Australia,70.2,33.4,62.5
11,Austria,65.1,22.5,59.3
12,Canada,64.8,33.2,61.7
13,New Zealand,64.6,25.9,57.1
14,Ireland,64.4,42.3,65.3
15,France,63.7,21,56.3
16,Puerto Rico,63.3,19.5,53.1
17,Finland,63.2,19.7,63.6
18,Netherlands,63.1,33.5,61.2
19,Israel,62.7,27.1,68
20,Luxembourg,62.4,40.5,68.7
21,Germany,62.2,24.4,52.8
22,United Kingdom,62,31.1,62.7
23,Belgium,61.1,20.1,66
24,South Korea,60.1,16,31.4
25,Sweden,59.3,20.9,54.7
26,Italy,56.2,19.2,53.3
27,United Arab Emirates,55.8,41.3,49.2
28,Cyprus,54.7,24.8,53.2
29,Uruguay,54.1,13.8,50.2
30,Jamaica,53.9,14.1,38.8
31,Malta,52.8,24.2,56.2
32,Trinidad And Tobago,52.6,13.1,43.9
33,Costa Rica,52.3,16.7,43.1
34,Bahrain,52.3,20.5,44.7
35,Greece,52,12.9,51.3
36,Estonia,52,15,50.6
37,Qatar,51.3,36.1,47.2
38,Slovenia,49.9,18.7,43.4
39,Latvia,49.1,11.2,44.9
40,Spain,47.3,22.9,44.1
41,Lithuania,47.1,15.6,43.5
42,Slovakia,46.7,14.8,34.5
43,Cuba,46.7,11.8,26
44,Czech Republic,46.6,18.8,34.1
45,Panama,46.4,20.1,42.2
46,Japan,46.1,13.4,27.8
47,Croatia,45.5,13.8,42.2
48,Saudi Arabia,45.3,11.3,30.9
49,Taiwan,45.2,13.1,23
50,Portugal,45.1,24,36.9
51,Oman,42.4,12.2,33.1
52,Kuwait,42.1,22.6,36.4
53,Albania,42.1,10.6,35.7
54,Lebanon,41.8,13.4,37.1
55,Hungary,41.7,11.3,37
56,Palestine,41.6,8,27.4
57,Jordan,41.2,7.2,34.8
58,Armenia,41,19,38.9
59,Poland,40.8,17.1,35
60,Mexico,40.2,15.5,35.7
61,El Salvador,39.5,14.6,29.6
62,Montenegro,39.4,15.8,36.3
63,Chile,39.1,11.1,34.8
64,Guatemala,38.8,12.6,31.1
65,Venezuela,38.3,5.8,37.7
66,Bulgaria,38.3,10.3,34.7
67,Dominican Republic,37.9,10.6,33.1
68,Serbia,37.7,12.4,31.2
69,Romania,37.5,9.9,35.5
70,Turkey,37.4,13.2,30.7
71,Cambodia,37.3,9.6,22.7
72,Cameroon,37.3,16.9,35.3
73,Zimbabwe,37.2,10,26.7
74,Mauritius,37.1,10,26.5
75,Fiji,35.4,15.3,28.4
76,Bosnia And Herzegovina,35,6.2,22.4
77,Sri Lanka,34.6,5.6,18.5
78,South Africa,34.5,11.5,29.5
79,Thailand,34.1,11.2,18.3
80,Moldova,34,10.1,26.6
81,Georgia,33.4,13.7,31.6
82,North Macedonia,33,6.5,22.1
83,Ecuador,32.6,8.6,24.5
84,Kazakhstan,31.7,12.3,28.7
85,China,31.7,12.3,20.6
86,Nigeria,31.4,22.1,20.6
87,Azerbaijan,31.2,8.7,31.8
88,Philippines,31,7.1,16.8
89,Russia,31,10,28
90,Ghana,30.9,10.2,26.9
91,Brazil,30.2,7.9,22.6
92,Kenya,30.2,8.5,22.1
93,Botswana,30.1,6.1,22.5
94,Malaysia,30,7.7,18.9
95,Peru,30,9.6,21.3
96,Morocco,29.5,7.4,20.7
97,Kosovo (Disputed Territory),29.5,7.7,20.6
98,Argentina,29.4,7.6,24.8
99,Iraq,29.3,7.6,20.9
100,Uganda,29.1,7.7,21.6
101,Algeria,28.9,3.8,14
102,Colombia,28.8,8.6,20.5
103,Vietnam,28.7,9,14.8
104,Tunisia,28.1,4.7,15
105,Bolivia,27.6,7.5,19.4
106,Kyrgyzstan,27.6,10.7,20.2
107,Indonesia,26.7,7.7,13.5
108,Iran,26.4,8.5,16.3
109,Uzbekistan,26.4,11.2,18.6
110,Belarus,26.4,8.3,24.9
111,Ukraine,25.9,7.6,20.7
112,Nepal,25.5,3.5,16.2
113,Paraguay,25.4,9.1,17.6
114,Madagascar,24.5,7.8,14.3
115,Syria,24,3.7,15.3
116,Tanzania,23.8,8.4,16.5
117,Bangladesh,22.5,2.4,12.8
118,India,21.2,5.6,15.1
119,Egypt,21,3.7,16.2
120,Libya,20.4,4.3,15.2
121,Pakistan,18.8,2.8,12.9